Source,Link
Industrial Factories of Precision Machinery (IFP),/iranian-entities/industrial-factories-precision-machinery-ifp
Industrial International Movalled Andishe Company (IMACO),/iranian-entities/industrial-international-movalled-andishe-company-imaco
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Information Systems of Iran (ISIRAN),/iranian-entities/information-systems-iran-isiran
Institute of Applied Physics,/iranian-entities/institute-applied-physics
Intelligence Protection Organization of the Ministry of Defense and Armed Forces Logistics (MODAFL),/iranian-entities/intelligence-protection-organization-ministry-defense-armed-forces-logistics-modafl
International General Resourcing FZE,/iranian-entities/international-general-resourcing-fze
International Safe Oil,/iranian-entities/international-safe-oil
Iradj Mohammadi Kahvarin,/iranian-entities/iradj-mohammadi-kahvarin
Iraj Farrokhzadeh,/iranian-entities/iraj-farrokhzadeh
Iran Aircraft Industries (IACI),/iranian-entities/iran-aircraft-industries-iaci
Iran Aircraft Manufacturing Industries (HESA),/iranian-entities/iran-aircraft-manufacturing-industries-hesa
Iran Alumina Company (IAC),/iranian-entities/iran-alumina-company-iac
Iran Aluminium Company (IRALCO),/iranian-entities/iran-aluminium-company-iralco
Iran Aviation Industries Organization (IAIO),/iranian-entities/iran-aviation-industries-organization-iaio
Iran Centrifuge Technology Company (TESA),/iranian-entities/iran-centrifuge-technology-company-tesa
Iran Communications Industries (ICI),/iranian-entities/iran-communications-industries-ici
Iran Composites Institute,/iranian-entities/iran-composites-institute
Iran Cutting Tools Manufacturing Company,/iranian-entities/iran-cutting-tools-manufacturing-company
Iran Electronic Development Company ,/iranian-entities/iran-electronic-development-company
Iran Electronics Industries (IEI),/iranian-entities/iran-electronics-industries-iei
Iran Helicopter Support and Renewal Industries (PANHA),/iranian-entities/iran-helicopter-support-and-renewal-industries
Iran Insurance Company,/iranian-entities/iran-insurance-company
Iran Khodro Company,/iranian-entities/iran-khodro-company
Iran Marine Industrial Company,/iranian-entities/iran-marine-industrial-company
Iran o Hind Shipping Company,/iranian-entities/iran-o-hind-shipping-company
Iran o Misr Shipping Company,/iranian-entities/iran-o-misr-shipping-company
Iran Parts Service Co.,/iranian-entities/iran-parts-service-co
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Iran Pooya,/iranian-entities/iran-pooya
Iran Powder Metallurgy Complex,/iranian-entities/iran-powder-metallurgy-complex
Iran Saffron Company,/iranian-entities/iran-saffron-company-0
Iran Space Industries Group,/iranian-entities/iran-space-industries-group
Iran Space Research Center,/iranian-entities/iran-space-research-center
Iran Tablo Company,/iranian-entities/iran-tablo-company
Iran Tohid Co.,/iranian-entities/iran-tohid-co
Iran Transfo Company,/iranian-entities/iran-transfo-company
Iran University of Science and Technology,/iranian-entities/iran-university-science-and-technology
Iran Uranium Enrichment Company,/iranian-entities/iran-uranium-enrichment-company
Iranian Diesel Engine Manufacturing Company (IDEM),/iranian-entities/iranian-diesel-engine-manufacturing-company-idem
Iranian Offshore Engineering and Construction Co,/iranian-entities/iranian-offshore-engineering-and-construction-co
Iranian Research Organization for Science and Technology (IROST),/iranian-entities/iranian-research-organization-science-and-technology-irost
Iranian Space Agency,/iranian-entities/iranian-space-agency
Iranian-Venezuelan Bi-National Bank ,/iranian-entities/iranian-venezuelan-bi-national-bank
IRGC-Air Force Al-Ghadir Missile Command,/iranian-entities/irgc-air-force-al-ghadir-missile-command
IRGC-Quds Force,/iranian-entities/irgc-quds-force
Irinvestship Ltd.,/iranian-entities/irinvestship-ltd
IRISL Asia Pte. Ltd.,/iranian-entities/irisl-asia-pte-ltd
IRISL Benelux NV,/iranian-entities/irisl-benelux-nv
IRISL Europe GmbH,/iranian-entities/irisl-europe-gmbh
IRISL Malta Limited,/iranian-entities/irisl-malta-limited
IRISL Marine Services and Engineering Company,/iranian-entities/irisl-marine-services-engineering-company
IRISL Maritime Training Institute,/iranian-entities/irisl-maritime-training-institute
IRISL Multimodal Transport Co.,/iranian-entities/irisl-multimodal-transport-co
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
IRISL UK Ltd.,/iranian-entities/irisl-uk-ltd
Irital Shipping SRL Company,/iranian-entities/irital-shipping-srl-company
Isfahan Alloy Steel Complex (IASC),/iranian-entities/isfahan-alloy-steel-complex-iasc
Isfahan Ammunition Factory,/iranian-entities/isfahan-ammunition-factory
Isfahan Chemical Industries,/iranian-entities/isfahan-chemical-industries
Isfahan Optics Industry,/iranian-entities/isfahan-optics-industry
ISI Maritime Limited,/iranian-entities/isi-maritime-limited
ISIM Sinin Limited,/iranian-entities/isim-sinin-limited
Islamic Azad University,/iranian-entities/islamic-azad-university
Islamic Republic of Iran Shipping Lines (IRISL),/iranian-entities/islamic-republic-iran-shipping-lines-irisl
Islamic Revolutionary Guard Corps (IRGC),/iranian-entities/islamic-revolutionary-guard-corps-irgc
Islamic Revolutionary Guard Corps (IRGC) Aerospace Force,/iranian-entities/islamic-revolutionary-guard-corps-irgc-aerospace-force
Islamic Revolutionary Guard Corps (IRGC) Aerospace Force Self-Sufficiency Jihad Organization,/iranian-entities/islamic-revolutionary-guard-corps-irgc-aerospace-force-self-sufficiency-jihad-organization
Islamic Revolutionary Guard Corps (IRGC) Research and Self-Sufficiency Jihad Organization,/iranian-entities/islamic-revolutionary-guard-corps-irgc-research-self-sufficiency-jihad-organization
Jaber Ibn Hayan Research Department (JIHRD),/iranian-entities/jaber-ibn-hayan-research-department-jihrd
Jafar Mohammadi,/iranian-entities/jafar-mohammadi
Jahan Tech Rooyan Pars,/iranian-entities/jahan-tech-rooyan-pars
Jalal Emami Gharah Hajjlu,/iranian-entities/jalal-emami-gharah-hajjlu
Jalal Rohollahnejad,/iranian-entities/jalal-rohollahnejad
Jam Petrochemical,/iranian-entities/jam-petrochemical
Jamshid Khalili,/iranian-entities/jamshid-khalili
Javad Al Yasin,/iranian-entities/javad-al-yasin
Javad Karimi Sabet,/iranian-entities/javad-karimi-sabet
Javad Rahiqi,/iranian-entities/javad-rahiqi
Javedan Mehr Toos,/iranian-entities/javedan-mehr-toos
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Jehad Daneshgahi Organization,/iranian-entities/jehad-daneshgahi-organization
Jelvesazan,/iranian-entities/jelvesazan
Jestar Sanat Delijan Company,/iranian-entities/jestar-sanat-delijan-company
Joza Industrial Co.,/iranian-entities/joza-industrial-co
K. N. Toosi University of Technology,/iranian-entities/k-n-toosi-university-technology
Kaan Iran,/iranian-entities/kaan-iran
Kala Naft,/iranian-entities/kala-naft-0
Kalaye Electric Company,/iranian-entities/kalaye-electric-company
Kamal Sanat Co.,/iranian-entities/kamal-sanat-co
Kambiz Rostamian,/iranian-entities/kambiz-rostamian
Kamran Daneshju,/iranian-entities/kamran-daneshju-0
Kamran Daneshju,/iranian-entities/kamran-daneshju
Kanavaran Mining and Industrial Company,/iranian-entities/kanavaran-mining-and-industrial-company
Karaj Nuclear Research Centre for Medicine and Agriculture,/iranian-entities/karaj-nuclear-research-centre-medicine-and-agriculture
Kata'ib Sayyid al-Shuhada,/iranian-entities/kataib-sayyid-al-shuhada
Kaveh Cutting Tools Company,/iranian-entities/kaveh-cutting-tools-company
Kaveri Maritime Inc.,/iranian-entities/kaveri-maritime-inc
Kavoshyar Company,/iranian-entities/kavoshyar-company
Khajir Complex,/iranian-entities/khajir-complex
Khala Afarin Pars,/iranian-entities/khala-afarin-pars
Khatam-al Anbiya Construction Headquarters (KAA),/iranian-entities/khatam-al-anbiya-construction-headquarters-kaa
Khaybar Company,/iranian-entities/khaybar-company
Khazar Exploration and Production Co.,/iranian-entities/khazar-exploration-production-co
Khazar Sea Shipping Lines,/iranian-entities/khazar-sea-shipping-lines
Khishavand Tasisat Co.,/iranian-entities/khishavand-tasisat-co
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Khorasan Metallurgy Industries,/iranian-entities/khorasan-metallurgy-industries
Khorasan Petrochemical Company,/iranian-entities/khorasan-petrochemical-company
Khoshomi Uranium Mine,/iranian-entities/khoshomi-uranium-mine
Khouzestan Steel Company,/iranian-entities/khouzestan-steel-company
Kimiya Pakhsh Shargh,/iranian-entities/kimiya-pakhsh-shargh
Kish Electrical & Optical Industrial Development Co.,/iranian-entities/kish-electrical-optical-industrial-development-co
Kish Shipping Line Manning Company,/iranian-entities/kish-shipping-line-manning-company
Kiyan Saynpaniz International (KSP),/iranian-entities/kiyan-saynpaniz-international-ksp
Kont Investment Bank,/iranian-entities/kont-investment-bank
Kont Kosmetik,/iranian-entities/kont-kosmetik
Kooshkan Transformers,/iranian-entities/kooshkan-transformers
Lancelin Shipping Company Limited,/iranian-entities/lancelin-shipping-company-limited
Landa Ariya Electronic Co.,/iranian-entities/landa-ariya-electronic-co
Laser and Plasma Research Institute,/iranian-entities/laser-and-plasma-research-institute
Laser Research Center,/iranian-entities/laser-research-center
Lashkar Ab'ad,/iranian-entities/lashkar-abad
Lavizan-Shian Technological Research Center,/iranian-entities/lavizan-shian-technological-research-center
Leading Maritime Pte ,/iranian-entities/leading-maritime-pte
M. Babaie Industries,/iranian-entities/m-babaie-industries
M/S Ray Textile Industries,/iranian-entities/ms-ray-textile-industries
Machine Pardazan Company,/iranian-entities/machine-pardazan-company
Machine Sazi Arak,/iranian-entities/machine-sazi-arak
Machine Sazi Pars Company,/iranian-entities/machine-sazi-pars-company
Machine Sazi Tabriz,/iranian-entities/machine-sazi-tabriz
Mahab Ghodss Consulting Engineering Company,/iranian-entities/mahab-ghodss-consulting-engineering-company
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Maham Ammunition Industries Group,/iranian-entities/maham-ammunition-industries-group-0
Mahan Air,/iranian-entities/mahan-air
Mahdi Ebrahimzadeh,/iranian-entities/mahdi-ebrahimzadeh
Mahdi Electronics,/iranian-entities/mahdi-electronics
Mahin Falsafi,/iranian-entities/mahin-falsafi
Mahmood Jannatian,/iranian-entities/mahmood-jannatian
Mahmoud Mohammadi Dayeni,/iranian-entities/mahmoud-mohammadi-dayeni
Majid Agha'i,/iranian-entities/majid-aghai
Majid Khansari,/iranian-entities/majid-khansari
Major General Mohammad Ali Jafari,/iranian-entities/major-general-mohammad-ali-jafari
Makin Institute,/iranian-entities/makin-institute
Malek Ashtar University,/iranian-entities/malek-ashtar-university
Malship Shipping Agency,/iranian-entities/malship-shipping-agency
Mandegar Baspar Kimiya Company,/iranian-entities/mandegar-baspar-kimiya-company
Mani Jafari,/iranian-entities/mani-jafari
Mansur Asgari,/iranian-entities/mansur-asgari
MAPNA Group,/iranian-entities/mapna-group
Marble Shipping Limited,/iranian-entities/marble-shipping-limited
Marestan,/iranian-entities/marestan
Marine Industries Group,/iranian-entities/marine-industries-group
Marlik Sun Manufacturing Co.,/iranian-entities/marlik-sun-manufacturing-co
Marou Sanat,/iranian-entities/marou-sanat
Marzieh Bozorg,/iranian-entities/marzieh-bozorg
Massoud Akhavan-Fard,/iranian-entities/massoud-akhavan-fard
Matin Sanat Nik Andishan,/iranian-entities/matin-sanat-nik-andishan
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Mavadkaran Engineering Company,/iranian-entities/mavadkaran-engineering-company
Mazandaran Cement Company,/iranian-entities/mazandaran-cement-company
Mazandaran Textile Company,/iranian-entities/mazandaran-textile-company
Mechanical Industry,/iranian-entities/mechanical-industry
Megamotor Company,/iranian-entities/megamotor-company
Mehdi Hashemi,/iranian-entities/mehdi-hashemi
Mehdi Masoumian,/iranian-entities/mehdi-masoumian
Mehdi Najafi,/iranian-entities/mehdi-najafi
Mehdi Teranchi,/iranian-entities/mehdi-teranchi
Mehr Bank,/iranian-entities/mehr-bank
MEHR Cayman Ltd.,/iranian-entities/mehr-cayman-ltd
Mehr Engineering Company,/iranian-entities/mehr-engineering-company
Mehr-e Eqtesad-e Iranian Investment Company,/iranian-entities/mehr-e-eqtesad-e-iranian-investment-company
Mehrabad Industrial Company,/iranian-entities/mehrabad-industrial-company
Mehrdada Akhlaghi Ketabachi,/iranian-entities/mehrdada-akhlaghi-ketabachi
Mellat Bank SB CJSC,/iranian-entities/mellat-bank-sb-cjsc
Mellat Insurance Company,/iranian-entities/mellat-insurance-company
Melli Agrochemical Company PJS,/iranian-entities/melli-agrochemical-company-pjs
Melli Bank PLC,/iranian-entities/melli-bank-plc
Melli Investment Holding International,/iranian-entities/melli-investment-holding-international
Melodious Maritime Inc.,/iranian-entities/melodious-maritime-inc
Mesbah Energy Company,/iranian-entities/mesbah-energy-company
Meysami Research Centre,/iranian-entities/meysami-research-centre
Milad Jafari,/iranian-entities/milad-jafari
Ministry of Defense Armed Forces Logistics (MODAFL),/iranian-entities/ministry-defense-armed-forces-logistics-modafl
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Ministry of Defense Logistics Export,/iranian-entities/ministry-defense-logistics-export
"Ministry of Science, Research and Technology, Isfahan Science and Technology Town",/iranian-entities/ministry-science-research-and-technology-isfahan-science-and-technology-town
Mir Business Bank Zao,/iranian-entities/bank-melli-iran-zao
Missile Industries Group,/iranian-entities/missile-industries-group
Mizan Machine Manufacturing Group,/iranian-entities/mizan-machine-manufacturing-group
MKS International Co. Ltd.,/iranian-entities/mks-international-co-ltd
Moallem Insurance Company,/iranian-entities/moallem-insurance-company
Moallem Kalayeh,/iranian-entities/moallem-kalayeh
Moavente Sanye,/iranian-entities/moavente-sanye
Mobarakeh Steel Company,/iranian-entities/mobarakeh-steel-company
Mobin Sanjesh,/iranian-entities/mobin-sanjesh
Modaber Investment Company,/iranian-entities/modaber-investment-company
Modality Ltd.,/iranian-entities/modality-ltd
Modern Industries Technique Company,/iranian-entities/modern-industries-technique-company
Modieriat Saakht Niroogahaye Atomi Iran,/iranian-entities/modieriat-saakht-niroogahaye-atomi-iran
Mohammad Ahmadian,/iranian-entities/mohammad-ahmadian
Mohammad Ali Hosseini,/iranian-entities/mohammad-ali-hosseini
Mohammad Baqer Zolqadr,/iranian-entities/mohammad-baqer-zolqadr
Mohammad Eslami,/iranian-entities/mohammad-eslami
Mohammad Fakhrzadeh,/iranian-entities/mohammad-fakhrzadeh
Mohammad Gholami,/iranian-entities/mohammad-gholami
Mohammad Hejazi,/iranian-entities/mohammad-hejazi
Mohammad Hossein Dajmar,/iranian-entities/mohammad-hossein-dajmar
Mohammad Hossein Haghighian,/iranian-entities/mohammad-hossein-haghighian
Mohammad Javad Imanirad,/iranian-entities/mohammad-javad-imanirad
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Mohammad Javad Jafari,/iranian-entities/mohammad-javad-jafari
Mohammad Javad Mohammad Esmaeil,/iranian-entities/mohammad-javad-mohammad-esmaeil
Mohammad Javad Safari,/iranian-entities/mohammad-javad-safari
Mohammad Kazem Chaghazardy,/iranian-entities/mohammad-kazem-chaghazardy
Mohammad Magham,/iranian-entities/mohammad-magham
Mohammad Mahdi Da'emi Attaran,/iranian-entities/mohammad-mahdi-daemi-attaran
Mohammad Mehdi Nejad Nouri,/iranian-entities/mohammad-mehdi-nejad-nouri
Mohammad Moghaddami Fard,/iranian-entities/mohammad-moghaddami-fard
Mohammad Mohammadi,/iranian-entities/mohammad-mohammadi
Mohammad Mokhber,/iranian-entities/mohammad-mokhber
Mohammad Pakpur,/iranian-entities/mohammad-pakpur
Mohammad Qannadi,/iranian-entities/mohammad-qannadi
Mohammad Reza Mehdipur,/iranian-entities/mohammad-reza-mehdipur
Mohammad Reza Movasaghnia,/iranian-entities/mohammad-reza-movasaghnia
Mohammad Reza Rezvanianzadeh,/iranian-entities/mohammad-reza-rezvanianzadeh
Mohammad Sadegh Naseri,/iranian-entities/mohammad-sadegh-naseri
Mohammed Fedai Ashiani,/iranian-entities/mohammed-fedai-ashiani
Mohammed Reza Rezakhah,/iranian-entities/mohammed-reza-rezakhah
Mohammed Saeed Ajily,/iranian-entities/mohammed-saeed-ajily
Mohammed Saeedi,/iranian-entities/mohammed-saeedi
"Mohandesi Toseh Sokht Atomi Company, Ltd.",/iranian-entities/mohandesi-toseh-sokht-atomi-company-ltd
Mohsen Asraftaba,/iranian-entities/mohsen-asraftaba
Mohsen Fakhrizadeh,/iranian-entities/mohsen-fakhrizadeh
Mohsen Hojati,/iranian-entities/mohsen-hojati
Mohsen Parsajam,/iranian-entities/mohsen-parsajam
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Mohsen Shafa'i,/iranian-entities/mohsen-shafai
Moj Pardaz,/iranian-entities/moj-pardaz
Mojtaba Ghasemi,/iranian-entities/mojtaba-ghasemi
Mojtaba Haeri,/iranian-entities/mojtaba-haeri
"Molybdenum, Iodine and Xenon Radioisotope Production Facility",/iranian-entities/molybdenum-iodine-and-xenon-radioisotope-production-facility
Morteza Behzad,/iranian-entities/morteza-behzad
Morteza Farasatpour ,/iranian-entities/morteza-farasatpour
Morteza Razavi,/iranian-entities/morteza-razavi
Morteza Rezaie,/iranian-entities/morteza-rezaie
Morteza Safari,/iranian-entities/morteza-safari
Moshever Sanat Moaser,/iranian-entities/moshever-sanat-moaser-0
Mostafa Esbati,/iranian-entities/mostafa-esbati
Mostafa Khomeini Base Factory,/iranian-entities/mostafa-khomeini-base-factory
Mostafa Zahedi,/iranian-entities/mostafa-zahedi
Mount Everest Maritime Inc.,/iranian-entities/mount-everest-maritime-inc
Murat Taskiran,/iranian-entities/murat-taskiran
N.A.B. Export,/iranian-entities/nab-export
Naftiran Intertrade Company,/iranian-entities/naftiran-intertrade-company
Naser Maleki,/iranian-entities/naser-maleki
Naserin Vahid,/iranian-entities/naserin-vahid
Natanz,/iranian-entities/natanz
National Center for Vacuum Technology,/iranian-entities/national-center-vacuum-technology
National Development Fund of Iran (NDF),/iranian-entities/national-development-fund-iran-ndf
National Iranian Central Oil Field Company,/iranian-entities/national-iranian-central-oil-field-company
National Iranian Copper Industries Company,/iranian-entities/national-iranian-copper-industries-company
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
National Iranian Drilling Company,/iranian-entities/national-iranian-drilling-company
National Iranian Gas Company,/iranian-entities/national-iranian-gas-company
National Iranian Industries Organization (NIIO),/iranian-entities/national-iranian-industries-organization-niio
National Iranian Oil Company,/iranian-entities/national-iranian-oil-company
National Iranian Oil Refining and Distribution Company,/iranian-entities/national-iranian-oil-refining-distribution-company
National Iranian South Oil Company,/iranian-entities/national-iranian-south-oil-company
National Iranian Steel Company (NISCO),/iranian-entities/national-iranian-steel-company-nisco
National Materials Science and Engineering Research Center,/iranian-entities/national-materials-science-engineering-research-center
National Petrochemical Company,/iranian-entities/national-petrochemical-company
National Research Center for Genetic Engineering and Biotechnology,/iranian-entities/national-research-center-genetic-engineering-and-biotechnology
Naval Defense Missile Industry Group,/iranian-entities/naval-defense-missile-industry-group
Naval University of Imam Khomeini,/iranian-entities/naval-university-imam-khomeini
Navid Composite Material Company,/iranian-entities/navid-composite-material-company
Neda Industrial Group,/iranian-entities/neda-industrial-group
Nedayeh Micron Electronics,/iranian-entities/nedayeh-micron-electronics
Nefertiti Shipping,/iranian-entities/nefertiti-shipping
Negin Parto Khavar,/iranian-entities/negin-parto-khavar
Neka Novin,/iranian-entities/neka-novin
Niru Battery Company,/iranian-entities/niru-battery-company
Noavaran Pooyamoj,/iranian-entities/noavaran-pooyamoj
Noor Afza Gostar,/iranian-entities/noor-afza-gostar
North Drilling Company,/iranian-entities/north-drilling-company
North European Bank,/iranian-entities/onerbank-zao
Nouavar Shad Co. Ltd.,/iranian-entities/nouavar-shad-co-ltd
Nouz Battery Manufacturing Company (NOOR),/iranian-entities/nouz-battery-manufacturing-company-noor
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Novin Energy Company,/iranian-entities/novin-energy-company
Novin Pars Mineral Exploration and Mining Engineering Company,/iranian-entities/novin-pars-mineral-exploration-mining-engineering-company
Novin Puneh Company,/iranian-entities/novin-puneh-company
Nuclear Fuel Production and Procurement Company,/iranian-entities/nuclear-fuel-production-and-procurement-company
Nuclear Research Center for Agriculture and Medicine,/iranian-entities/nuclear-research-center-agriculture-and-medicine
Nuclear Science and Technology Research Institute,/iranian-entities/nuclear-science-and-technology-research-institute
Nuclear Waste Company of Iran,/iranian-entities/nuclear-waste-company-iran
Ocean Express Agencies Private Limited,/iranian-entities/ocean-express-agencies-private-limited
Offshore Design and Research Center,/iranian-entities/offshore-design-and-research-center
Ofog Sabze Darya Company,/iranian-entities/ofog-sabze-darya-company
Ofogh Consulting Engineers,/iranian-entities/ofogh-consulting-engineers
Oil Industries Engineering and Construction,/iranian-entities/oil-industries-engineering-construction
Oil Industry Pension Fund Investment Company (OPIC),/iranian-entities/oil-industry-pension-fund-investment-company-opic
Oil Turbo Compressor Company,/iranian-entities/oil-turbo-compressor-company
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
Omran Sahel,/iranian-entities/omran-sahel
One Class Properties (Pty) Ltd.,/iranian-entities/one-class-properties-pty-ltd
One Vision Investments 5 (Pty) Ltd.,/iranian-entities/one-vision-investments-5-pty-ltd
Organization of Defensive Innovation and Research,/iranian-entities/organization-defensive-innovation-and-research
Oriental Oil Kish,/iranian-entities/oriental-oil-kish
Owj Industrial Complex,/iranian-entities/owj-industrial-complex
P.B. Sadr Co.,/iranian-entities/pb-sadr-co
Pacific Shipping,/iranian-entities/pacific-shipping
Pajouheshi Electron Company,/iranian-entities/pajouheshi-electron-company
Pak Shoo Chemical and Manufacturing Company,/iranian-entities/pak-shoo-chemical-and-manufacturing-company
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
